Title,First Paragraph
Czesław Miłosz,"<START> Ni Czesław Miłosz ket maysa idi a Polako a mannaniw, mannurat ti prosa ket nagipatpatarus iti nagtaudan a Lithuaniano. T Maikadua a sangalubongan a Gubat a panawen a panagsarsaruno a Ti Lubong ket maysa nga urnong dagiti 20 nga 'ampapaok' a dandaniw. Timmalaw isuna a napan iti Laud idi 1951, ken ti saan a piksion a librona a Ti Natiliw a Panunot (1953) ket maysa a klasiko iti kontra-Stalinismo. Manipud idi 1961 aginggana idi 1998 isu ket maysa a propesor iti pagsasao nga Eslabo ken Literatura iti Unibersidad iti California, Berkeley. Ni Miłosz ket nagbalin nga umili iti Amerika ken nagunggunaan iti Premio Nobel iti Literatura idi 1980. <END>"
Confucius,"<START> Ni Confucius ket maysa idi nga Insik a manursuro, editor, politiko, ken pilosopor ti Primabera ken Otonio a paset ti panawen ti Insik a pakasaritaan. Ti pilosopia ni Confucius nangiyunay-unay ti personal ken gobarnamental a moralidad, kinaagpayso ken dagiti sosial a pannakibiang, hustisia ken kinapasnek. Dagiti simmursurot kaniana ket nakaibinglayda kadagiti dadduma nga eskuela idi las-ud ti Sangagasut nga Es-eskuela ti Panunot a panawen ngem isuda ket napasardeng a maiparabor dagiti Legalistas idi las-ud ti Qin a Dinastia. Kalpasan ti panagballigi ti Han iti Chu kalpasan ti panakarebba tif Qin, dagiti kapanunotan ni Confucius ket nakagun-od ti opisial a panakakayat ken kaaduan a naiparparang-ay iti sistema a naamammoan a kas ti Confucianismo. <END>"
Sarah Bernhardt,"<START> Ni Sarah Bernhardt ket maysa idi a Pranses nga entablado ken nasapa nga aktres ti pelikula, ken nakunkuna idi a kas 'ti kalatakan nga aktres a naam-ammuan iti lubong'. Ni Bernhardt ket nakaaramid ti pannakadayawna kadagiti entablado ti Pransia kadagidi tawen ti 1870, ket natunton idi idiay Europa ken ti Kaamerikaan. Isu ket nakaparang-ay ti dayaw a kas maysa a naganetget a dramatiko nga aktres, a nakagun-od ti birngas a kas 'Ti Nainlangitan a Sarah'. <END>"
Marlene Dietrich,<START> Ni Marlene Dietrich ket maysa idi nga Aleman-Amerikano nga aktres ken kumakanta. <END>
Marilyn Monroe,"<START> Ni Marilyn Monroe ket maysa idi nga Amerikana nga aktres, modelo, ken kumakanta, a nangbalin a maysa a kangrunaan a simbolo ti sekso, a nagbida kadagiti adu a nagballiligi ti komersio ti pelikula idi las-ud dagiti tawtawen ti 1950 ken ti nasapa a 1960. <END>"
Corbin Bleu,"<START> Ni Corbin Bleu Reivers, ammo iti propesion a kas ni Corbin Bleu, ket Amerikano nga aktor, modelo, sumasala, produser ken kumakanta-mannurat ti kanata iti tawid a Hamaikano-Italiano. <END>"
Barbra Streisand,"<START> Ni Barbara Joan 'Barbra' Streisand ket maysa nga Amerikana a kumakanta, mannurat ti kanta, aktres, ken agpatpataud iti pelikula. Iti las-ud ti pagsaulanna a nagpaut iti innem a dekada, isu ket nagbalin a maysa a simbolo kadagiti nadumaduma a kita ti paglinglingayan, nangabak kadagiti adu a gunguna, ken nakagun-od iti pannakabigbig a kas Ina dagiti Amin a Kontemmporario a Diva ti Pop wenno Reina dagiti Diva. Isu ket nabigbiganen kadagiti dua Gunguna ti Akademia, sangapulo a Gunguna ti Grammy a mairaman ti Gunguna ti Grammy Lifetime Achievement ken ti Gunguna ti Leyenda ti Grammy, lima a Gunguna ti Emmy a mairaman ti maysa a Daytime Emmy, Espesial a Gunguna ti Tony, maysa a gunguna ti American Film Institute, ti premio Kennedy Center Honors, uppat a Gunguna ti Peabody, Presidensial a Medalia ti Wayawaya ken siam a Gunguna ti Nabalitokan a Globo. Isu ket maysa kadagiti bassit a grupo dagiti manglinglingay a napammadayawan iti gunguna ti Emmy, Grammy, Oscar, ken Tony Award, ken maysa kadagiti dua laeng nga artista a nangabak pay ti Peabody. <END>"
Bjørnstjerne Bjørnson,<START> Ni Bjørnstjerne Martinus Bjørnson ket maysa a mannurat a Norwego. Idi 1903 naawatna iti Premio Nobel iti Literatura. <END>
Gabriela Silang,"<START> Ni María Josefa Gabriela Cariño Silang ket isu iti immuna a Filipina a nangidaulo iti yaalsa a mangsuppiat kadagiti Kastila idi sinakupda iti Filipinas.  Miembro iti bunggoy a rebelde ni asawana a ni Diego Silang, intuloyna iti labanda ti uppat a bulan kalpasan a natay ni Diego, sakbay a natiliw isuna ken binitay. <END>"
Katsura Hoshino,"<START> Ni Katsura Hoshino  ket Haponesa a mannurat iti manga ken artista manipud idiay Prepektura ti Shiga. Isu ket nagdamo a nagparang idi 2003 iti pannakaipablaak ti immuna a serie ti manga ti Continue ken kalatakan a naam-aamuan para iti obrana iti, D.Gray-man,a nangrugi iti serialisasionin ti Weekly Shōnen Jump ti Shueisha idi Mayo 2004. Isu ket kinaud a nagdisenio kadagiti karakter para iti anime ti Sunrise idi 2013, ti Valvrave the Liberator, ken nakaramidan daytoy iti immuna nga orihinal nga obrana iti anime <END>"
Jake Zyrus,"<START> Ni Charmaine Clarice Relucio Pempengco, kaaduan nga ammo babaen ti nagan a Jake Zyrus, ket Filipina a kumakanta a nagsikat babaen ti YouTube. Kinunkuna idi babaen ni Oprah Winfrey a kas 'ti katalentuan nga ubing a babai iti lubong', immuna isuna a nangipablaak ti internasional nga album ti estudio ti Charice idi 2010. Ti album ket napan a maika-8 iti Billboard 200, ken ngaramid kenni Charice ti immuna a taga-Asia a solo a kumakanta iti pakasaritaan nga addaan iti Top 10 iti chart ti album ti Billboard 200. <END>"
Ruffa Gutierrez,"<START> Ni Charmaine Ruffa Gutierrez ket artista a Filipina ; anak da Eddie Gutierrez ken Annabelle Rama, ken kabsat da Tonton Gutierrez, Elvis Gutierrez, Ricthie Paul Gutierrez, Raymond Gutierrez, Richard Gutierrez ken Ramon Christopher. <END>"
Sheena Easton,"<START> Ni Sheena Easton ket Eskoses/Amerikana a kumakanta ken aktres ti entablado, telebison ken pelikula. Ti maysa kadagiti nasikat a kanta ni Easton ket ti Telefone. <END>"
Ivan Bunin,<START> Ni Ivan Alekseyevich Bunin ket isu ti immuna a Ruso a mannurat a nangabak ti Premio Nobel iti Literatura para iti nainget a panaka-artista nga inawitna iti klasiko a Ruso a tinawtawid iti panagsurat kadgiti prosa ken daniw. <END>
Lidia Gueiler Tejada,"<START> Ni Lidia Gueiler Tejada ket isu idi ti immuna a babbai a Presidente ti Bolivia, a nagserbi a kas ti agtigtignay a kapasidad manipud idi 1979 aginggana idi 1980. Isu idi ti immuna a babai a Daulo iti Estado ti Bolivia, ken ti maikadua ti pakasaritaan ti Latin nga Amerika. <END>"
Ho Jong-suk,"<START> Ni Ho Jong-suk ket maysa idi a Koreana nga aktibista iti wayawaya, mannurat, periodista, ken komunista. Ti pudno idi a naganna ket Jongja. <END>"
Pacita Abad,"<START> Ni Pacita Abad ket naiyanak idi idiay Basco, Batanes, ti bassit nga isla iti akin-amianan unay a parte ti Filipinas, iti pagbaetan ti Luzon ken Taiwan. Ti ad-adu ngem 30-tawen a pagsapulanna iti panagpinta ket nangrugi idi nagbanniaga tapno agadal idiay Estados Unidos. Nangipabpabuya isuna kadagiti obrana kadagiti ad-adu ngem 200 a museo, dagiti galeria ken dagiti dadduma pay a lugar, a mairaman dagiti 75 nga agmaymaysa a pabpabuya, iti likmut ti lubong. Ti obra ni Abad ket makita itan iti publiko, korporado ken dagiti pribado nga urnong iti arte kadagiti sumurok a 70 a pagilian. <END>"
Kris Aquino,"<START> Ni Kristina Bernadette Cojuangco Aquino ammo iti propesion a kas ni Kris Aquino, ket Filipina a personalidad iti telebision ken aktres. Isuna ti buridek nga anak a babai ni senador ti Filipinas Benigno S. Aquino, Jr., ken ni Corazon Cojuangco-Aquino, nga isu ket nagserbi a kas ti maika-11 a Presidente ti Filipinas, ken kabsat a babai ni Benigno S. Aquino, III, ti maika-15 a Presidente ti Filipinas. <END>"
Tự Đức,<START> Ni Emperador Tự Đức ket maysa nga emperador ti Nguyễn a Dinastia iti Bietnam a nagturay idi 1847–1883. <END>
David Paich,"<START> Ni David Frank Paich ket maysa a sesion a musikero, agay-ayam ti intrumento a teklado, agpatpataud ti plaka, bokalista ken kangrunaan a komposer ti naikuartel idiay Los Angeles a rock/pop a banda ti Toto. <END>"
Rafael Buenaventura,<START> Ni Rafael Carlos Baltazar Buenaventura ket maysa idi a prominente mangimatmaton iti banko idiay Filipinas ken dati a nangimaton iti Tengnga a Banko iti Filipinas ; isu ket nagserbi babaen dagiti dua a presidente ti Filipinas idi las-ud ti panawen dagiti kaaduan a riribok iti transision ti politika iti pakasaritaan ti pagilian. <END>
Jennica Garcia,<START> Ni Jennica Alexis Maitim Garcia ket maysa a Filipina nga aktres. <END>
Kim Chiu,"<START> Ni Kimberly Sue Yap Chiu, kaaduan nga ammo a kas ni Kim Chiu, ket Insik a Filipino nga aktres manipud iti Filipinas. <END>"
Octavio Paz,"<START> Ni Octavio Paz Lozano ket maysa idi a mannurat a Mehikano, mannaniw, ken diplomatiko, ken nangunggunaan iti Premio Nobel iti Literatura idi 1990. <END>"
Jolina Magdangal,<START> Ni Jolina Magdangal ket Filipina nga aktres ken kumakanta. <END>
"Joseph Smith, Jr.","<START> Ni Joseph Smith, Jr. ket ti kangrunaan a nangbangon ken daulo ti tignay a Santo iti Maudi nga Aldaw, nga ammo pay kas Mormonismo, a pakairamanan dagiti denominasion a kas iti Ti Simbaan ni Hesu-Kristo kadagiti Santo iti Maudi nga Al-aldaw ken ti Komunidad ni Kristo. Ibilang ken daydayawen dagiti pasurot ni Smith isuna a kas maysa a propeta kadagiti maudi nga al-aldaw. <END>"
Romain Rolland,"<START> Ni Romain Rolland ket maysa a Pranses a dramatista, nobelista, manalaysay, agisarsarita ti arte ken mistiko a nagunggunaan ti Premio Nobel iti Literatura idi 1915. <END>"
Armen Dzhigarkhanyan,<START> Ni Armen Dzhigarkhanyan ket Armenio ken Ruso nga aktor. <END>
Glenn Frey,"<START> Ni Glenn Lewis Frey maysa idi nga Amerikano a kumakanta, mannurat ti kanta, produser ken aktor, kaaduan nga ammo a kas kameng ti banda ti rock iti Eagles. Idi las-ud dagiti tawen ti 1970, ni Frey ket nagtoktokar iti gitara iti banda, ken nagtoktokar pay iti piano ken ti teklado. Kaduana idi ni Don Henley, ni Frey ket maysa idi kadagiti kangrunaan a kumakanta iti Eagles; isu ket kimmanta kadagiti mangiyuna a bokal a kas ti 'Take It Easy', 'Peaceful Easy Feeling', 'Tequila Sunrise', 'Already Gone', 'Lyin' Eyes', 'New Kid in Town'ken 'Heartache Tonight'. <END>"
Le Corbusier,"<START> Ni Charles-Édouard Jeanneret-Gris, kaaduan pay nga ammo idi a kas ni Le Corbusier, ket maysa idi a Suiso-Pranses nga arkitekto, dumidibuho, pintor, urbanista, mannurat, ken maysa kadagiti pionero iti natawtawagan itan iti moderno nga arkitektura. Isu ket naipasngay idi idiay Suisa ken nagbalin nga umili ti Pransia idi 1930. Ti karrerna ket nagpaut kadagiti lima a dekada, nga addaan kadagiti naipatakder a pasdekna iti amin a paset ti Europa, India, ken Amerika. <END>"
Elfriede Jelinek,"<START> Ni Elfriede Jelinek ket maysa nga Austriano a dramaturgo ken nobelista. Nagunggunaan isuna ti Premio Nobel iti Literatura idi 2004 para iti 'musika a panagayayos dagiti boses kadagiti nobela ken dagiti pabuya nga, addan ti nalatak a linguistiko a regta, ket agiparang kadagiti absurdidad ti kagimongan a panangiladawan ken dagiti parneken a bileg.' <END>"
J. J. Thomson,"<START> Ni Apo Joseph John 'J. J.' Thomson, OM, FRS ket maysa idi a Britaniko a pisiko. <END>"
Paul Dirac,"<START> Ni Paul Adrien Maurice Dirac OM, FRS ket Ingles a teoretikal a pisiko a nagaramid kadagiti pamunganayan a kontribusion iti nasapa a panagdur-as iti mekanika kuantum ken elektrodinamika kuantum. Isuidi ti Lucasiano a Propesor ti Matematika iti Unibersidad ti Cambridge, kameng ti Sentro para kadagiti Teoretikal a Panagadal, Unibersidad ti Miami, ken naggigian iti naudi a dekada iti panagbiagna idiay Unibersidad ti Estado ti Florida. <END>"
André Gide,"<START> Ni André Paul Guillaume Gide ket maysa idi a Pranses a mannurat ken nagabak ti Premio Nobel iti Literatura idi 1947. Ti karrer ni Gide ket nakasakup manipud kadagiti nagrugianna iti simbolista a tignay, aginggana ti isasangpet ti kontra kolonialismo a nagbaetan dagiti dua a Sangalubongan a Gubat. Ti nagsurat kadagiti ad-adu ngem limapulo a libro, iti panawen ti ipupusayna ti obituarion aiti The New York Times ket nangipalawag kaniana a kas ti 'kalatakan a kontemporario a lalaki dagiti surat ti Pransia' ken 'nahuesan a ti kalatakan a mannurat a Pranses iti daytoy a siglo babaen ti literario a cognoscenti.' <END>"
Ivo Andrić,"<START> Ni Ivo Andrić ket maysa a Yugoslav a nobelista, mannurat ti ababa a sarita, ken ti nangabak ti Premio Nobel iti Literatura idi 1961. Dagiti sinusuratna ket kangrunaan a maipanggep kadgiti kabibiag idiay katutubo a nagtaengan na a Bosnia babaen ti Imperio ti Ottoman. Ti katutubo a balayna idiay Travnik ket napagbalin a maysa a Museo, ken daydi Belgrade a nagtaengan na idiay Andrićev Venac ket ditoy ti nagyanan ti Museo iti Ivo Andrić. <END>"
Nadine Gordimer,"<START> Ni Nadine Gordimer ket maysa a Taga-Abagatan nga Aprika a mannurat, aktibista ti politika ken nagunggunaan ti Premio Nobel iti Literatura idi 1991. <END>"
Rudolf Christoph Eucken,"<START> Ni Rudolf Christoph Eucken ket maysa idi nga Aleman a pilosopo, ken ti nagabak ti 1908 a Premio Nobel iti Literatura. <END>"
Imre Kertész,<START> Ni Imre Kertész ket maysa a Hungaro Hudio a mannurat ken nagunggunaan ti Premio Nobel iti Literatura idi 2002 'para kadagiti panagsursurat nga agsarsarapa ti narukop a kapadasan dagiti tattao a nangsupiat kadagiti barbariko panagikeddeng iti pakasaritaan'. <END>
Apollo Quiboloy,"<START> Ni Apollo Carreon Quiboloy ket isu ti nangipatakder ken ti daulo ti naikuartel idiay Filipinas a Mangipaspasubli ti Kristiano a simbaan, ti Pagarian ni Hesukristo, Ti Kangatuan A Nagan Kadagiti Amin A Nagan, Inc. Isu ket nangitunton nga isu ti 'Naidutok nga Anak iti Dios'. <END>"
Ariel S. Tabag,"<START> Ni Ariel S. Tabag ket editor iti daniw ken showbiz iti Bannawag. Co-editor kadagiti libro nga impablaak ti GUMIL Filipinas. Maysa kadagiti nangbukel iti Daniw ken Basi, maysa a performing arts group a pakairamanan dagiti mannurat nga Ilokano. Bahista ti Samtoy ken Pilo. Nangabaken kadagiti salip iti panagsuratan iti Ilokano ken Filipino. Nakaipablaaken iti libro, ti Karapote nga antolohia dagiti 13 a saritana. Impatarusna iti Filipino ti 13 a sarita dagiti agkabannuag nga Ilokano sa naipablaak a libro, ti Samtoy, babaen ti pannarabay ti NCCA. Siaasawa ken ni Norielyn Cullar a maysa a Tagalog. No saan nga agsursurat, sursuruanna nga agsao iti Ilokano dagiti dua a putotna, da Anib Miguel ken Saniata Noriel. Patanor ti Villa, Santa Teresita, Cagayan. <END>"
Arlene B. Arcillas,"<START> Ni Arlene B. Arcillas ket maysa a politiko ken mayor ti siudad ti Santa Rosa, Laguna, Filipinas. <END>"
Arrel Olaño,"<START> Ni Arrel R. Olaño idiay Tagum, Davao del Norte, Filipinas ket maysa a politiko a Filipino. Maysa kameng ti Partido LAKAS-CMD, ken nabutosanen kadagiti tallo a termino a kas Kamara dagiti Pannakabagi ti Filipinas, a mangirepresenta ti Umuna a Distrito ti Davao del Norte. Immuna a nabutosan idi 2001, isu ketnabutosan manen idi 2004 ken 2007. <END>"
Arthur Capell,"<START> Ni Arthur Capell ket maysa idi nga Australiano a lingguista, a nakaited kadagiti nangruna a kontribusion iti panagadal dagiti pagsasao ti Australia, sasao nga Austronesio ken sasao a Papuano. <END>"
Dick Cheney,"<START> Ni Richard Bruce 'Dick' Cheney ket nagserbi a kas ti maika-46 a Bise Presidente iti Estados Unidos (2001–2009), babaen ni Presidente George W. Bush. <END>"
Boris Tadić,"<START> Ni Boris Tadić ket taga-Serbia a politiko a nagserbi a kas Presidente ti Serbia manipud idi 2004 aginggana idi 2012. Isu ket nabutosan iti immuna a terminona idi 27 Hunio 2004, ken naisapata iti opisina idi 11 Hulio. <END>"
Gwen Stefani,"<START> Ni Gwen Renée Stefani ket Amerikana a kumakanta, mannurat ti kanta, agdesdesinio iti moda, ken aktres. Isu ki kimmaddua a nagpundar ken daulo a kumakanta iti banda ti rock a No Doubt. Idi las-ud ti kadayeg ti banda, ni Stefani ket nangirugi iti solo a karerna, ken nangipabalaak ti immuna nga albumna iti Love. Angel. Music. Baby. idi 2004. Daytoy ket nairegget iti musika kadagiti tawen ti 1980, balligi ti album ken nakalako kadagiti sumurok a pito a riwriw a kopia. <END>"
Chun Jung-myung,<START> Ni Chun Jung-myung ket taga-Abagatan a Korea nga aktor. <END>
Song Joong-ki,<START> Ni Song Joong-ki ket taga-Abagatan a Korea nga aktor. <END>
Ha Seok-jin,<START> Ni Ha Seok-jin ket taga-Abagatan a Korea nga aktor. <END>
Manny Pacquiao,"<START> Ni Emmanuel 'Manny' D. Pacquiao, ket maysa a boksingero nga am-ammo iti palayawna a 'Pac Man', nga iti agdama ket isu ti kampeon iti WBC International Super Featherweight, ken ti sigud a RING Peoplekampeon iti Featherweight ti a RING People (2003-2005), sigud kampeon iti IBF Super Bantamweight (2001-2004), ken sigud a kampeon iti WBC Flyweight Champion (1998-1999). Addaan isuna iti record a 41 a panangabak, 3 a pannakaarus, ken 2 a tabla, nga addaan 31 a panangabak babaen ti knockout. <END>"
Whoopi Goldberg,"<START> Ni Caryn Elaine Johnson, kaaduan nga ammo babaen ti naganna iti entablado iti Whoopi Goldberg, ket Aprikana-Amerikana nga aktres, komediante, ken mangsangsangaili iti telebision. Isu ket nainominado kadagiti 13 a Premio Emmy para iti obrana iti telebision, ken maysa kadagiti manmano a tattao a nangabak iti Premio Emmy, ken Premio Grammy, Oscar, ken Premio Tony. Isu laeng ti maikadua a nangisit a babai iti pakasaritaan ti Gunguna ti Akademia a nangabak iti panag-akting iti Oscar. <END>"
Dan Quayle,"<START> Ni James Danforth 'Dan' Quayle ket nagserbi a kas ti maika-44 a Bise Presidente iti Estados Unidos, a nagserbi babaen ni Presidente George H. W. Bush (1989–1993). Isu ket nagserbi a kas ti Pannakabagi ti Estados Unidos ken Senador ti Estados Unidos. manipud iti estado ti Indiana. <END>"
Walter Mondale,"<START> Ni Walter Frederick 'Fritz' Mondale ket maysa nga Amerikano a politiko ti Partido Demokratiko a nagserbi idi a kas ti maika-42 a Bise Presidente iti Estados Unidos (1977–1981) babaen ni Presidente Jimmy Carter, ken Senador manipud idiay Minnesota (1964–1976). Isu ti kandidato para iti presidente ti Partido Demokratiko iti panagbubutos ti presidente ti Estados Unidos idi 1984. <END>"
Bobby Pacquiao,<START> Alberto 'Bobby' Dapidran Pacquiao ket Filipino ket dati a propesional a boksingero. Isu ti ub-ubing a kabsat a lalaki ni Manny Pacquiao. <END>
Kim Bum,"<START> Ni Kim Sang-bum, ken kalatakan nga ammo iti naganna iti entablado iti Kim Bum, ket aktor manipud idiay Abagatan a Korea, kumakanta, ken modelo. Isu ket kalatakan nga ammo para iti papelna a kas ni So Yi-jung, iti Boys Over Flowers. <END>"
