Title,First Paragraph
Mario Vargas Llosa,"Jorge Mario Pedro Vargas Llosa, 1st Marquess of Vargas Llosa, more commonly known as Mario Vargas Llosa, is a Peruvian novelist, journalist, essayist and former politician. Vargas Llosa is one of Latin America's most significant novelists and essayists and one of the leading writers of his generation. Some critics consider him to have had a larger international impact and worldwide audience than any other writer of the Latin American Boom. In 2010, he won the Nobel Prize in Literature, ""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat."" He also won the 1967 Rómulo Gallegos Prize, the 1986 Prince of Asturias Award, the 1994 Miguel de Cervantes Prize, the 1995 Jerusalem Prize, the 2012 Carlos Fuentes International Prize, and the 2018 Pablo Neruda Order of Artistic and Cultural Merit. In 2021, he was elected to the Académie française."
W. B. Yeats,"William Butler Yeats was an Irish poet, dramatist and writer, and one of the foremost figures of 20th-century literature. He was a driving force behind the Irish Literary Revival, and along with Lady Gregory founded the Abbey Theatre, serving as its chief during its early years. He was awarded the 1923 Nobel Prize in Literature, and later served two terms as a Senator of the Irish Free State."
Joan Crawford,"Joan Crawford was an American actress. She started her career as a dancer in traveling theatrical companies before debuting on Broadway. Crawford was signed to a motion picture contract by Metro-Goldwyn-Mayer in 1925. Initially frustrated by the size and quality of her parts, Crawford launched a publicity campaign and built an image as a nationally known flapper by the end of the 1920s. By the 1930s, Crawford's fame rivaled MGM colleagues Norma Shearer and Greta Garbo. Crawford often played hardworking young women who find romance and financial success. These ""rags-to-riches"" stories were well received by Depression-era audiences and were popular with women. Crawford became one of Hollywood's most prominent movie stars and one of the highest paid women in the United States, but her films began losing money. By the end of the 1930s, she was labeled ""box office poison""."
Julia Roberts,"Julia Fiona Roberts is an American actress. Known for her leading roles in films encompassing a variety of genres, she has received multiple accolades, including an Academy Award, a British Academy Film Award, and three Golden Globe Awards. The films in which she has starred have collectively grossed over $3.9 billion globally, making her one of Hollywood's most bankable stars. After an early breakthrough with appearances in Mystic Pizza (1988) and Steel Magnolias (1989), Roberts established herself as a leading actress when she headlined the top-grossing romantic comedy Pretty Woman (1990)."
John Wayne,"Marion Robert Morrison, professionally known as John Wayne and nicknamed ""the Duke"" or ""Duke Wayne"", was an American actor who became a popular icon through his starring roles in films which were produced during Hollywood's Golden Age, especially in Western and war movies. His career flourished from the silent era of the 1920s through the American New Wave, as he appeared in a total of 179 film and television productions. He was among the top box-office draws for three decades and appeared with many other important Hollywood stars of his era. In 1999, the American Film Institute selected Wayne as one of the greatest male stars of classic American cinema."
Sandra Bullock,"Sandra Annette Bullock is an American actress and film producer. She has received several awards and nominations, including an Academy Award and a Golden Globe Award. She was the world's highest-paid actress in 2010 and 2014, and was named one of Time's 100 most influential people in the world in 2010."
Knut Hamsun,"Knut Hamsun was a Norwegian writer who was awarded the Nobel Prize in Literature in 1920. Hamsun's work spans more than 70 years and shows variation with regard to consciousness, subject, perspective and environment. He published more than 23 novels, a collection of poetry, some short stories and plays, a travelogue, works of non-fiction and some essays."
Doris Lessing,"Doris May Lessing was a British novelist. She was born to British parents in Iran, where she lived until 1925. Her family then moved to Southern Rhodesia, where she remained until moving in 1949 to London, England. Her novels include The Grass Is Singing (1950), the sequence of five novels collectively called Children of Violence (1952–1969), The Golden Notebook (1962), The Good Terrorist (1985), and five novels collectively known as Canopus in Argos: Archives (1979–1983)."
Werner Heisenberg,"Werner Karl Heisenberg was a German theoretical physicist, one of the main pioneers of the theory of quantum mechanics, and a principal scientist in the Nazi nuclear weapons program during World War II. He published his Umdeutung paper in 1925, a major reinterpretation of old quantum theory. In the subsequent series of papers with Max Born and Pascual Jordan, during the same year, his matrix formulation of quantum mechanics was substantially elaborated. He is known for the uncertainty principle, which he published in 1927. Heisenberg was awarded the 1932 Nobel Prize in Physics ""for the creation of quantum mechanics""."
Harold Pinter,"Harold Pinter was a British playwright, screenwriter, director and actor. A Nobel Prize winner, Pinter was one of the most influential modern British dramatists with a writing career that spanned more than 50 years. His best-known plays include The Birthday Party (1957), The Homecoming (1964) and Betrayal (1978), each of which he adapted for the screen. His screenplay adaptations of others' works include The Servant (1963), The Go-Between (1971), The French Lieutenant's Woman (1981), The Trial (1993) and Sleuth (2007). He also directed or acted in radio, stage, television and film productions of his own and others' works."
Jane Fonda,"Jane Seymour Fonda is an American actress and activist. Recognized as a film icon, Fonda's work spans several genres and over six decades of film and television. She is the recipient of numerous accolades, including two Academy Awards, two British Academy Film Awards, seven Golden Globe Awards, a Primetime Emmy Award, the AFI Life Achievement Award, the Honorary Palme d'Or, and the Cecil B. DeMille Award."
Al Pacino,"Alfredo James Pacino is an American actor. Considered one of the greatest and most influential actors of the 20th century, Pacino has received numerous accolades including an Academy Award, two Tony Awards, and two Primetime Emmy Awards achieving the Triple Crown of Acting. He also received four Golden Globe Awards, a BAFTA, two Screen Actors Guild Awards and been honored with the Cecil B. DeMille Award in 2001, the AFI Life Achievement Award in 2007, the National Medal of Arts in 2011, and the Kennedy Center Honors in 2016."
Demi Lovato,"Demetria Devonne ""Demi""  Lovato is an American singer, songwriter, and actress. After appearing on the children's television series Barney & Friends (2002–2004), she rose to prominence for playing Mitchie Torres in the musical television film Camp Rock (2008) and its sequel Camp Rock 2: The Final Jam (2010). The former film's soundtrack contained ""This Is Me"", her debut single and duet, which peaked at number nine on the U.S. Billboard Hot 100."
